,name,number,type,greyscale_homogeneity_avg,greyscale_energy_avg,greyscale_contrast_avg,greyscale_dissimilarity_avg,greyscale_ASM_avg,greyscale_correlation_avg
3291,blob-6400-2700,-6400-2700,0,0.4281227518258689,0.3076856868113518,1644.159015610642,14.305537394143368,0.09472430015153736,0.8302799702787846
3292,blob-6400-2800,-6400-2800,0,0.3541362447582797,0.22493485698398802,1572.3112706866543,14.420029792878193,0.05066703790202097,0.8268939462805935
3293,blob-6400-2900,-6400-2900,0,0.44696720633008385,0.3295244128907246,1649.6302899704017,14.0720942760942,0.10864749546566262,0.8296786170732366
3294,blob-6400-3000,-6400-3000,0,0.37706546516409556,0.2517007490844957,1705.6725019895825,15.24763881236601,0.06341780399525046,0.8254899587669646
3295,blob-6400-3100,-6400-3100,0,0.36411546147155416,0.24667474218471072,1570.3648705234068,15.081188450158077,0.06091423785239294,0.8325415998682711
3296,blob-6400-3200,-6400-3200,0,0.5043595519314763,0.39792808738715485,1764.3590923375086,15.04281195796339,0.15840479001530175,0.8299062693438944
3297,blob-6400-3300,-6400-3300,0,0.41487755558415057,0.29592008475516535,1627.2114490358022,14.736694622997572,0.08762349454898308,0.8342792609841986
3298,blob-6400-3400,-6400-3400,0,0.5200532119636483,0.4110656797505478,1766.1257892051774,13.959283746556395,0.1689970362437662,0.8288174883772905
3299,blob-6400-3500,-6400-3500,0,0.4345707078241857,0.31821131896390903,1599.1331051933394,13.558636873788341,0.10131377318880216,0.8318230790638721
3300,blob-6400-3600,-6400-3600,0,0.26151363133921357,0.13868137203265613,1514.6021597796043,15.439332313029187,0.019310919571277795,0.8258154849511881
3301,blob-6400-3700,-6400-3700,0,0.2687631083709301,0.14722882821887567,1534.1623560861024,15.502996428935754,0.0217547387376725,0.8268728557648991
3302,blob-6400-3800,-6400-3800,0,0.310108264971172,0.19062825538346986,1573.7752792572073,15.441831649831553,0.0363962621568622,0.8285814838438362
3303,blob-6400-3900,-6400-3900,0,0.43381217052780574,0.317244777896763,1563.1188588919397,14.148739516375803,0.10070430651196272,0.8360635732948778
3304,blob-6400-4000,-6400-4000,0,0.4239508539635436,0.3034806852326531,1570.6070866238044,13.8494447505356,0.09217718367038388,0.8331526146606416
3305,blob-6400-4100,-6400-4100,0,0.4815659688982971,0.3684959542831649,1632.744693398624,14.261998571574257,0.13585812697346783,0.834463994907507
3306,blob-6400-4200,-6400-4200,0,0.2576257201513837,0.13528287555769697,1448.6053925109595,15.310644628099087,0.018370041571586802,0.8346449079479795
3307,blob-6400-4300,-6400-4300,0,0.2837891893944601,0.14867885461920585,1459.2457508417428,14.448767676767597,0.022178010752304265,0.8347750849839913
3308,blob-6400-4400,-6400-4400,0,0.26888644402027956,0.14122504560139235,1480.8061299867259,14.695295173961767,0.020020374051314807,0.8307293206605358
3309,blob-6400-4500,-6400-4500,0,0.27601019665268844,0.15254741659082013,1570.5795984083168,15.311321701867053,0.023355450998386453,0.8216088399171424
3310,blob-6400-4600,-6400-4600,0,0.3004670511039904,0.17154313264200788,1574.39973512906,14.988967656361506,0.029515521487540403,0.8260300136639435
3311,blob-6400-4700,-6400-4700,0,0.30889746210208396,0.18431742413259092,1527.2118938883682,15.226396490153974,0.03404850325747154,0.8308519626362436
3312,blob-6400-4800,-6400-4800,0,0.615838059338218,0.51309760487997,1605.1234543413862,12.215260891745695,0.26328187249248175,0.8475805243750951
3313,blob-6400-4900,-6400-4900,0,0.6575307873051394,0.5614402985691408,1778.2776549331672,11.526787062544596,0.31522872146887737,0.8280259676771644
3314,blob-6400-5000,-6400-5000,0,0.9758733705930608,0.9095721399386404,1568.8582038156326,6.152385113002481,0.8273220155378562,0.8381812150700533
3315,blob-6500-0,-6500-0,0,0.25714913639323395,0.12302415928691979,1373.6318591980325,13.891593510866164,0.01520732256258315,0.8411622076174534
3316,blob-6500-100,-6500-100,0,0.2720540143862885,0.13546368624083266,1456.9776186103372,14.280277930823312,0.01842354297848931,0.830637856757954
3317,blob-6500-200,-6500-200,0,0.2845390661176955,0.1383410672663267,1279.725425568812,12.834105499438778,0.019204595862937567,0.8539516324572016
3318,blob-6500-300,-6500-300,0,0.2751964521160365,0.1385348011535197,1474.4695610651852,13.847311906948175,0.019256871423815658,0.8290780406037837
3319,blob-6500-400,-6500-400,0,0.24835032255715622,0.11582723535179315,1481.2946850321316,13.920746862564977,0.013501737095077399,0.8270238209785028
3320,blob-6500-500,-6500-500,0,0.3767087464904485,0.24201285499286834,1530.6777871645659,12.764936230996753,0.058625829755841095,0.834985710890885
3321,blob-6500-600,-6500-600,0,0.2291333136111963,0.09601373997933405,1321.8041228445998,13.693956943168988,0.009293295305276039,0.8392462863478933
3322,blob-6500-700,-6500-700,0,0.2625452620276086,0.12314106471255433,1313.643544128143,13.147017651260006,0.015237112603455777,0.8459733864229234
3323,blob-6500-800,-6500-800,0,0.22047885191240485,0.09377387905961039,1361.1590266299286,14.421973268033799,0.00887347649132966,0.8360246854972067
3324,blob-6500-900,-6500-900,0,0.24737522560199623,0.11084936801267484,1295.8336969696898,13.5751731455973,0.012362984270983866,0.8494137049643806
3325,blob-6500-1000,-6500-1000,0,0.22313503506287038,0.09766304426923891,1300.991733088453,14.352984797469574,0.009617944160729816,0.8437094891280958
3326,blob-6500-1100,-6500-1100,0,0.27120968225512276,0.12922715220255715,1432.9511702887376,13.642182226303362,0.016765003828821175,0.8354300309836613
3327,blob-6500-1200,-6500-1200,0,0.2429400911391102,0.11648231005291394,1387.1792237526709,14.572141618202135,0.013645185286997378,0.837459376422242
3328,blob-6500-1300,-6500-1300,0,0.20657300829666764,0.08561421841711143,1272.5319065401425,14.26814896439129,0.00741246249357225,0.8440563616706491
3329,blob-6500-1400,-6500-1400,0,0.22031852836926738,0.09847980929033393,1449.221101520241,15.233879400061124,0.009778081546268129,0.8293867397142293
3330,blob-6500-1500,-6500-1500,0,0.2440967389978154,0.11413671155427822,1262.228549739815,14.209902254871867,0.013102461770167467,0.8522283251311968
3331,blob-6500-1600,-6500-1600,0,0.2539424428272943,0.12359082231437857,1270.3489219467317,14.466229976532924,0.01533823108218032,0.8523276932490355
3332,blob-6500-1700,-6500-1700,0,0.23106286583835361,0.10929009637658742,1335.5212590551907,15.257701867156305,0.012019815103333378,0.8439402670375056
