ycc,67420
hsv,72147
hsi,159787
yiq,705065
cielab,83197
ycc,71585
hsv,65219
hsi,157166
yiq,789607
cielab,84127
ycc,71947
hsv,62598
hsi,156887
yiq,656556
cielab,92473
ycc,73404
hsv,66801
hsi,163307
yiq,622674
cielab,78359
glcm-greyscale,899068
ycc,76087
hsv,85012
hsi,163102
yiq,663167
cielab,85538
glcm-greyscale,589622
ycc,77345
hsv,69867
hsi,161719
yiq,666594
cielab,86986
glcm-greyscale,909892
ycc,74695
hsv,76773
hsi,181563
yiq,818627
cielab,86817
glcm-greyscale,912300
ycc,68198
hsv,64968
hsi,160879
yiq,722967
cielab,92189
glcm-greyscale,676916
ycc,63718
hsv,63146
hsi,153914
yiq,763468
cielab,84495
glcm-greyscale,621028
glcm-yiq-y,865530
glcm-yiq-i,524306
glcm-yiq-q,637034
glcm-hsv-h,856055
glcm-hsv-h,938054
glcm-hsv-h,155570
glcm-rgb-b,197664
glcm-rgb-b,209138
glcm-rgb-b,874078
glcm-hsv-h,327004
glcm-hsv-s,760046
glcm-hsv-i,657717
glcm-ycbcr-y,142559
glcm-ycbcr-cb,900442
glcm-ycbcr-cr,64540
glcm-cielab-l,299982
glcm-cielab-a,581573
glcm-cielab-b,84954
ycc,90886
hsv,92797
hsi,183664
yiq,876990
cielab,89323
glcm-greyscale,745655
glcm-yiq-y,71680
glcm-yiq-i,702716
glcm-yiq-q,429317
glcm-hsv-h,210957
glcm-hsv-h,224372
glcm-hsv-h,92122
glcm-rgb-b,128797
glcm-rgb-b,716891
glcm-rgb-b,51518
glcm-hsv-h,416750
glcm-hsv-s,553095
glcm-hsv-i,808045
glcm-ycbcr-y,253586
glcm-ycbcr-cb,602987
glcm-ycbcr-cr,554648
glcm-cielab-l,936031
glcm-cielab-a,349995
glcm-cielab-b,198528
ycc,84002
hsv,77997
hsi,164005
yiq,844523
cielab,88616
ycc,70768
hsv,79260
hsi,162302
yiq,986262
cielab,83044
glcm-greyscale,622335
ycc,61843
hsv,62963
hsi,160072
yiq,837448
cielab,76177
ycc,63370
hsv,64050
hsi,159905
yiq,821098
cielab,84068
ycc,64538
hsv,68015
hsi,174519
yiq,834695
cielab,82764
ycc,61281
hsv,62447
hsi,161830
yiq,667412
cielab,80814
glcm-greyscale,524766
glcm-yiq-y,377173
glcm-yiq-i,578888
glcm-yiq-q,499047
glcm-hsv-h,345215
glcm-hsv-h,416068
glcm-hsv-h,13690
glcm-rgb-b,676317
glcm-rgb-b,456307
glcm-rgb-b,990927
glcm-hsv-h,445767
glcm-hsv-s,973510
glcm-hsv-i,677248
glcm-ycbcr-y,640689
glcm-ycbcr-cb,896567
glcm-ycbcr-cr,328144
glcm-cielab-l,866312
glcm-cielab-a,53031
glcm-cielab-b,385063
ycc,69154
hsv,66070
hsi,155771
yiq,712806
cielab,78065
